error_id,source_file,source_feature_id,error_type,original_value,modified_value,expected_action,parcel_id,truth_group
ERR-0001,inputs/cadastral.gpkg,P-080,self_intersection,valid polygon,self-intersecting (Self-intersection[500198.121940798 3000385.27827362]),repair_geometry_and_flag_for_survey_review,P-080,invalid_geometry
ERR-0002,inputs/cadastral.gpkg,P-009,self_intersection,valid polygon,self-intersecting (Self-intersection[500141.18759943 3000066.34472121]),repair_geometry_and_flag_for_survey_review,P-009,invalid_geometry
ERR-0003,inputs/cadastral.gpkg,P-072,self_intersection,valid polygon,self-intersecting (Self-intersection[500056.580332467 3000468.19761911]),repair_geometry_and_flag_for_survey_review,P-072,invalid_geometry
ERR-0004,inputs/cadastral.gpkg,P-024|P-028,parcel_overlap,touching boundary,overlap area 55.39 m2,resolve_topology_conflict,P-024,overlap
ERR-0005,inputs/cadastral.gpkg,P-047|P-048,parcel_overlap,touching boundary,overlap area 33.76 m2,resolve_topology_conflict,P-047,overlap
ERR-0006,inputs/cadastral.gpkg,P-065|P-067,parcel_overlap,touching boundary,overlap area 41.59 m2,resolve_topology_conflict,P-065,overlap
ERR-0007,inputs/cadastral.gpkg,P-060|P-061,parcel_overlap,touching boundary,overlap area 15.57 m2,resolve_topology_conflict,P-060,overlap
ERR-0008,inputs/cadastral.gpkg,P-068|P-069,parcel_overlap,touching boundary,overlap area 11.85 m2,resolve_topology_conflict,P-068,overlap
ERR-0009,inputs/revenue.csv,REV-0016,area_mismatch,1579.11,1242.40,flag_attribute_conflict_and_recompute_from_geometry,P-016,area_conflict
ERR-0010,inputs/revenue.csv,REV-0007,area_mismatch,1657.61,1936.78,flag_attribute_conflict_and_recompute_from_geometry,P-007,area_conflict
ERR-0011,inputs/revenue.csv,REV-0017,area_mismatch,1014.46,907.74,flag_attribute_conflict_and_recompute_from_geometry,P-017,area_conflict
ERR-0012,inputs/revenue.csv,REV-0012,area_mismatch,1528.78,1187.57,flag_attribute_conflict_and_recompute_from_geometry,P-012,area_conflict
ERR-0013,inputs/revenue.csv,REV-0089,area_mismatch,3294.31,2501.33,flag_attribute_conflict_and_recompute_from_geometry,P-089,area_conflict
