source_file,source_feature_id,parcel_id,link_type
inputs/revenue.csv,REV-0001,P-001,revenue_to_parcel
inputs/revenue.csv,REV-0002,P-002,revenue_to_parcel
inputs/revenue.csv,REV-0003,P-003,revenue_to_parcel
inputs/revenue.csv,REV-0004,P-004,revenue_to_parcel
inputs/revenue.csv,REV-0005,P-005,revenue_to_parcel
inputs/revenue.csv,REV-0006,P-006,revenue_to_parcel
inputs/revenue.csv,REV-0007,P-007,revenue_to_parcel
inputs/revenue.csv,REV-0008,P-008,revenue_to_parcel
inputs/revenue.csv,REV-0009,P-009,revenue_to_parcel
inputs/revenue.csv,REV-0010,P-010,revenue_to_parcel
inputs/revenue.csv,REV-0011,P-011,revenue_to_parcel
inputs/revenue.csv,REV-0012,P-012,revenue_to_parcel
inputs/revenue.csv,REV-0013,P-013,revenue_to_parcel
inputs/revenue.csv,REV-0014,P-014,revenue_to_parcel
inputs/revenue.csv,REV-0015,P-015,revenue_to_parcel
inputs/revenue.csv,REV-0016,P-016,revenue_to_parcel
inputs/revenue.csv,REV-0017,P-017,revenue_to_parcel
inputs/revenue.csv,REV-0018,P-018,revenue_to_parcel
inputs/revenue.csv,REV-0019,P-019,revenue_to_parcel
inputs/revenue.csv,REV-0020,P-020,revenue_to_parcel
inputs/revenue.csv,REV-0021,P-021,revenue_to_parcel
inputs/revenue.csv,REV-0022,P-022,revenue_to_parcel
inputs/revenue.csv,REV-0023,P-023,revenue_to_parcel
inputs/revenue.csv,REV-0024,P-024,revenue_to_parcel
inputs/revenue.csv,REV-0025,P-025,revenue_to_parcel
inputs/revenue.csv,REV-0026,P-026,revenue_to_parcel
inputs/revenue.csv,REV-0027,P-027,revenue_to_parcel
inputs/revenue.csv,REV-0028,P-028,revenue_to_parcel
inputs/revenue.csv,REV-0029,P-029,revenue_to_parcel
inputs/revenue.csv,REV-0030,P-030,revenue_to_parcel
inputs/revenue.csv,REV-0031,P-031,revenue_to_parcel
inputs/revenue.csv,REV-0032,P-032,revenue_to_parcel
inputs/revenue.csv,REV-0033,P-033,revenue_to_parcel
inputs/revenue.csv,REV-0034,P-034,revenue_to_parcel
inputs/revenue.csv,REV-0035,P-035,revenue_to_parcel
inputs/revenue.csv,REV-0036,P-036,revenue_to_parcel
inputs/revenue.csv,REV-0037,P-037,revenue_to_parcel
inputs/revenue.csv,REV-0038,P-038,revenue_to_parcel
inputs/revenue.csv,REV-0039,P-039,revenue_to_parcel
inputs/revenue.csv,REV-0040,P-040,revenue_to_parcel
inputs/revenue.csv,REV-0041,P-041,revenue_to_parcel
inputs/revenue.csv,REV-0042,P-042,revenue_to_parcel
inputs/revenue.csv,REV-0043,P-043,revenue_to_parcel
inputs/revenue.csv,REV-0044,P-044,revenue_to_parcel
inputs/revenue.csv,REV-0045,P-045,revenue_to_parcel
inputs/revenue.csv,REV-0046,P-046,revenue_to_parcel
inputs/revenue.csv,REV-0047,P-047,revenue_to_parcel
inputs/revenue.csv,REV-0048,P-048,revenue_to_parcel
inputs/revenue.csv,REV-0049,P-049,revenue_to_parcel
inputs/revenue.csv,REV-0050,P-050,revenue_to_parcel
inputs/revenue.csv,REV-0051,P-051,revenue_to_parcel
inputs/revenue.csv,REV-0052,P-052,revenue_to_parcel
inputs/revenue.csv,REV-0053,P-053,revenue_to_parcel
inputs/revenue.csv,REV-0054,P-054,revenue_to_parcel
inputs/revenue.csv,REV-0055,P-055,revenue_to_parcel
inputs/revenue.csv,REV-0056,P-056,revenue_to_parcel
inputs/revenue.csv,REV-0057,P-057,revenue_to_parcel
inputs/revenue.csv,REV-0058,P-058,revenue_to_parcel
inputs/revenue.csv,REV-0059,P-059,revenue_to_parcel
inputs/revenue.csv,REV-0060,P-060,revenue_to_parcel
inputs/revenue.csv,REV-0061,P-061,revenue_to_parcel
inputs/revenue.csv,REV-0062,P-062,revenue_to_parcel
inputs/revenue.csv,REV-0063,P-063,revenue_to_parcel
inputs/revenue.csv,REV-0064,P-064,revenue_to_parcel
inputs/revenue.csv,REV-0065,P-065,revenue_to_parcel
inputs/revenue.csv,REV-0066,P-066,revenue_to_parcel
inputs/revenue.csv,REV-0067,P-067,revenue_to_parcel
inputs/revenue.csv,REV-0068,P-068,revenue_to_parcel
inputs/revenue.csv,REV-0069,P-069,revenue_to_parcel
inputs/revenue.csv,REV-0070,P-070,revenue_to_parcel
inputs/revenue.csv,REV-0071,P-071,revenue_to_parcel
inputs/revenue.csv,REV-0072,P-072,revenue_to_parcel
inputs/revenue.csv,REV-0073,P-073,revenue_to_parcel
inputs/revenue.csv,REV-0074,P-074,revenue_to_parcel
inputs/revenue.csv,REV-0075,P-075,revenue_to_parcel
inputs/revenue.csv,REV-0076,P-076,revenue_to_parcel
inputs/revenue.csv,REV-0077,P-077,revenue_to_parcel
inputs/revenue.csv,REV-0078,P-078,revenue_to_parcel
inputs/revenue.csv,REV-0079,P-079,revenue_to_parcel
inputs/revenue.csv,REV-0080,P-080,revenue_to_parcel
inputs/revenue.csv,REV-0081,P-081,revenue_to_parcel
inputs/revenue.csv,REV-0082,P-082,revenue_to_parcel
