parcel_id,building_id,overlap_fraction,intersection_area_sqm,distance_m,relationship_type
SYN-P0001,MS-123301331-197822,0.022169,9.4732,0.0,crosses_boundary
SYN-P0001,MS-123301331-279968,0.0,0.0,2.17,adjacent_no_overlap
SYN-P0001,MS-123301331-367522,0.011555,12.9116,0.0,crosses_boundary
SYN-P0001,MS-123301331-386224,0.0,0.0,9.975,adjacent_no_overlap
SYN-P0001,MS-123301331-52082,0.0,0.0,2.982,adjacent_no_overlap
SYN-P0001,MS-123301331-58174,0.0,0.0,5.174,adjacent_no_overlap
SYN-P0001,MS-123301331-590264,0.599495,352.7383,0.0,crosses_boundary
SYN-P0001,MS-123301331-796,0.849443,368.4767,0.0,partial_overlap
SYN-P0002,MS-123301331-191536,0.083374,151.2506,0.0,crosses_boundary
SYN-P0002,MS-123301331-248576,0.301594,289.2431,0.0,crosses_boundary
SYN-P0002,MS-123301331-298189,0.0,0.0,3.897,adjacent_no_overlap
SYN-P0002,MS-123301331-918,1.0,542.0883,0.0,within_parcel
SYN-P0003,MS-123301331-376923,0.0,0.0,8.703,adjacent_no_overlap
SYN-P0003,MS-123301331-4035,1.0,48.1914,0.0,within_parcel
SYN-P0003,MS-123301331-415258,0.17981,49.6129,0.0,crosses_boundary
SYN-P0003,MS-123301331-418312,0.024151,9.0013,0.0,crosses_boundary
SYN-P0003,MS-123301331-465345,0.002035,0.6944,0.0,partial_overlap
SYN-P0003,MS-123301331-593023,0.035636,9.9246,0.0,crosses_boundary
SYN-P0004,MS-123301331-127470,0.029647,13.9873,0.0,crosses_boundary
SYN-P0004,MS-123301331-217162,0.00142,0.2672,0.0,partial_overlap
SYN-P0004,MS-123301331-7304,1.0,176.9691,0.0,within_parcel
SYN-P0004,MS-123301331-77232,0.0,0.0,6.609,adjacent_no_overlap
SYN-P0005,MS-123301331-7334,0.179138,5.8288,0.0,partial_overlap
SYN-P0006,MS-123301331-10301,0.989904,181.657,0.0,crosses_boundary
SYN-P0006,MS-123301331-197938,0.0054,25.325,0.0,crosses_boundary
SYN-P0006,MS-123301331-627520,0.0,0.0,0.297,adjacent_no_overlap
SYN-P0006,MS-123301331-64206,0.0,0.0,0.311,adjacent_no_overlap
SYN-P0007,MS-123301331-109197,0.0,0.0,4.437,adjacent_no_overlap
SYN-P0007,MS-123301331-13696,0.999021,100.5643,0.0,crosses_boundary
SYN-P0007,MS-123301331-351423,0.0,0.0,2.724,adjacent_no_overlap
SYN-P0007,MS-123301331-370516,0.003515,8.7498,0.0,crosses_boundary
SYN-P0007,MS-123301331-493460,0.0,0.0,9.279,adjacent_no_overlap
SYN-P0008,MS-123301331-13770,1.0,226.9268,0.0,crosses_boundary
SYN-P0008,MS-123301331-389485,0.353955,78.5013,0.0,crosses_boundary
SYN-P0008,MS-123301331-392693,0.236661,359.2248,0.0,crosses_boundary
SYN-P0008,MS-123301331-599561,0.095898,22.5695,0.0,crosses_boundary
SYN-P0008,MS-123301331-64178,0.0,0.0,6.364,adjacent_no_overlap
SYN-P0009,MS-123301331-109171,0.0,0.0,0.601,adjacent_no_overlap
SYN-P0009,MS-123301331-16641,0.993342,310.2582,0.0,partial_overlap
SYN-P0009,MS-123301331-197808,0.0,0.0,8.089,adjacent_no_overlap
SYN-P0009,MS-123301331-215429,0.136174,37.8893,0.0,crosses_boundary
SYN-P0009,MS-123301331-33010,0.0,0.0,0.527,adjacent_no_overlap
SYN-P0009,MS-123301331-509357,0.406862,175.1074,0.0,partial_overlap
SYN-P0009,MS-123301331-522103,0.0,0.0,3.981,adjacent_no_overlap
SYN-P0009,MS-123301331-58174,0.0,0.0,6.75,adjacent_no_overlap
SYN-P0010,MS-123301331-103247,0.0,0.0,8.099,adjacent_no_overlap
SYN-P0010,MS-123301331-228445,0.0,0.0,4.674,adjacent_no_overlap
SYN-P0010,MS-123301331-23269,0.773689,654.9131,0.0,crosses_boundary
SYN-P0010,MS-123301331-33064,0.0,0.0,6.682,adjacent_no_overlap
SYN-P0010,MS-123301331-376901,0.0,0.0,4.541,adjacent_no_overlap
SYN-P0010,MS-123301331-412089,0.022508,19.9374,0.0,crosses_boundary
SYN-P0010,MS-123301331-440069,0.0,0.0,4.544,adjacent_no_overlap
SYN-P0010,MS-123301331-587430,0.0,0.0,6.484,adjacent_no_overlap
SYN-P0011,MS-123301331-173045,0.039236,53.0131,0.0,crosses_boundary
SYN-P0011,MS-123301331-230032,0.030955,15.4926,0.0,crosses_boundary
SYN-P0011,MS-123301331-23323,0.83609,241.8098,0.0,partial_overlap
SYN-P0011,MS-123301331-427668,0.180246,175.4556,0.0,crosses_boundary
SYN-P0011,MS-123301331-502951,0.018724,24.4267,0.0,crosses_boundary
SYN-P0011,MS-123301331-565195,0.0,0.0,0.659,adjacent_no_overlap
SYN-P0012,MS-123301331-172954,0.0,0.0,3.16,adjacent_no_overlap
SYN-P0012,MS-123301331-26826,0.881908,440.6501,0.0,crosses_boundary
SYN-P0012,MS-123301331-329449,0.0,0.0,4.291,adjacent_no_overlap
SYN-P0012,MS-123301331-33022,7e-06,0.0044,0.0,partial_overlap
SYN-P0012,MS-123301331-348185,0.0,0.0,5.338,adjacent_no_overlap
SYN-P0012,MS-123301331-351416,0.135347,31.6529,0.0,crosses_boundary
SYN-P0013,MS-123301331-128437,0.13315,240.4822,0.0,crosses_boundary
SYN-P0013,MS-123301331-26828,0.93829,536.9935,0.0,crosses_boundary
SYN-P0013,MS-123301331-45742,0.002708,0.7727,0.0,partial_overlap
SYN-P0013,MS-123301331-487069,0.0,0.0,4.006,adjacent_no_overlap
SYN-P0013,MS-123301331-537840,0.030998,15.0401,0.0,crosses_boundary
SYN-P0013,MS-123301331-571627,0.0,0.0,1.951,adjacent_no_overlap
SYN-P0013,MS-123301331-57919,0.0,0.0,4.469,adjacent_no_overlap
SYN-P0014,MS-123301331-13770,0.0,0.0,7.498,adjacent_no_overlap
SYN-P0014,MS-123301331-26888,1.0,29.3291,0.0,within_parcel
SYN-P0014,MS-123301331-415258,0.160619,44.3178,0.0,crosses_boundary
SYN-P0014,MS-123301331-418312,0.044652,16.6425,0.0,crosses_boundary
SYN-P0014,MS-123301331-465345,0.028804,9.8314,0.0,crosses_boundary
SYN-P0014,MS-123301331-550663,0.0,0.0,4.674,adjacent_no_overlap
SYN-P0014,MS-123301331-599561,0.0,0.0,2.195,adjacent_no_overlap
SYN-P0015,MS-123301331-29523,1.0,72.5959,0.0,within_parcel
SYN-P0015,MS-123301331-41983,0.0,0.0,9.178,adjacent_no_overlap
SYN-P0015,MS-123301331-577943,0.127754,160.2359,0.0,crosses_boundary
SYN-P0016,MS-123301331-16641,0.0,0.0,4.53,adjacent_no_overlap
SYN-P0016,MS-123301331-241461,0.0,0.0,2.565,adjacent_no_overlap
SYN-P0016,MS-123301331-301251,0.0,0.0,6.737,adjacent_no_overlap
SYN-P0016,MS-123301331-33010,0.786158,373.0653,0.0,crosses_boundary
SYN-P0016,MS-123301331-58174,0.023601,26.9323,0.0,crosses_boundary
SYN-P0016,MS-123301331-83695,0.0,0.0,8.474,adjacent_no_overlap
SYN-P0017,MS-123301331-217074,0.0,0.0,4.48,adjacent_no_overlap
SYN-P0017,MS-123301331-279683,0.032213,12.177,0.0,crosses_boundary
