point_id,easting,northing,accuracy_m
GNSS-001,500140.994,3000065.786,0.121
GNSS-002,500079.081,3000060.339,0.052
GNSS-003,500283.242,3000423.166,0.064
GNSS-004,500463.444,3000199.481,0.092
GNSS-005,500121.004,3000300.419,0.064
GNSS-006,500439.457,3000043.574,0.042
GNSS-007,500141.357,3000464.268,0.105
GNSS-008,500293.895,3000048.434,0.079
GNSS-009,500247.978,3000105.255,0.14
GNSS-010,500281.591,3000356.246,0.033
GNSS-011,500110.191,3000067.372,0.092
GNSS-012,500079.184,3000060.563,0.042
GNSS-013,500129.889,3000100.89,0.081
GNSS-014,500367.777,3000207.759,0.041
GNSS-015,500061.175,3000259.057,0.087
GNSS-016,500293.551,3000080.65,0.079
GNSS-017,500129.55,3000031.587,0.096
GNSS-018,500078.507,3000060.59,0.047
GNSS-019,500444.444,3000464.651,0.05
GNSS-020,500213.203,3000203.431,0.14
