record_id,survey_no,owner_ref,recorded_area_m2
REV-0001, 001,OWNER-001,1142.62
REV-0002,P-002,OWNER-002,798.37
REV-0003,003,OWNER-003,856.71
REV-0004,004,OWNER-004,1058.25
REV-0005,005,OWNER-005,2664.33
REV-0006,006,OWNER-006,3267.1
REV-0007,007,OWNER-007,1936.78
REV-0008,008,OWNER-008,746.12
REV-0009,009,OWNER-009,1300.91
REV-0010,010,OWNER-010,2076.55
REV-0011,011,OWNER-011,977.8
REV-0012,012,OWNER-012,1187.57
REV-0013,013,OWNER-013,2611.42
REV-0014,014,OWNER-014,3203.79
REV-0015,015,OWNER-015,2879.12
REV-0016,016,OWNER-016,1242.4
REV-0017,017,OWNER-017,907.74
REV-0018,18,OWNER-018,1983.7
REV-0019,019,OWNER-019,1583.92
REV-0020,020,OWNER-020,475.01
REV-0021,021,OWNER-021,728.35
REV-0022,022,OWNER-022,920.89
REV-0023,023,OWNER-023,1043.64
REV-0024,024,OWNER-024,2137.47
REV-0025,P-025,OWNER-025,2115.02
REV-0026,026,OWNER-026,1285.1
REV-0027,027,OWNER-027,2070.93
REV-0028,028,OWNER-028,2498.93
REV-0029,029,OWNER-029,1630.62
REV-0030,030,OWNER-030,2293.66
REV-0031,031,OWNER-031,1438.29
REV-0032,032,OWNER-032,869.69
REV-0033,033,OWNER-033,967.45
REV-0034,034,OWNER-034,743.33
REV-0035,035,OWNER-035,2975.95
REV-0036,036,OWNER-036,2140.55
REV-0037,037,OWNER-037,2434.37
REV-0038,038,OWNER-038,1509.38
REV-0039,039,OWNER-039,1971.98
REV-0040,040,OWNER-040,2438.08
REV-0041, 041,OWNER-041,687.75
REV-0042,042,OWNER-042,663.05
REV-0043,043,OWNER-043,2011.64
REV-0044,044,OWNER-044,1230.75
REV-0045,045,OWNER-045,878.52
REV-0046,046,OWNER-046,3145.34
REV-0047,047,OWNER-047,1161.5
REV-0048,048,OWNER-048,721.15
REV-0049,049,OWNER-049,3170.74
REV-0050,050,OWNER-050,946.46
REV-0051,051,OWNER-051,1029.94
REV-0052,052,OWNER-052,2010.25
REV-0053,053,OWNER-053,3235.72
REV-0054,054,OWNER-054,1419.68
REV-0055,055,OWNER-055,1140.33
REV-0056,056,OWNER-056,726.04
REV-0057,057,OWNER-057,1977.68
REV-0058,058,OWNER-058,1726.6
REV-0059,059,OWNER-059,3773.6
REV-0060,060,OWNER-060,1251.65
REV-0061,061,OWNER-061,1063.86
REV-0062,062,OWNER-062,1023.78
REV-0063,063,OWNER-063,2324.41
REV-0064,064,OWNER-064,1439.63
REV-0065,065,OWNER-065,1124.51
REV-0066,066,OWNER-066,1273.69
REV-0067,067,OWNER-067,913.69
REV-0068,068,OWNER-068,2434.23
REV-0069,069,OWNER-069,1786.79
REV-0070,070,OWNER-070,1089.61
REV-0071,071 ,OWNER-071,708.47
REV-0072,072,OWNER-072,656.59
REV-0073,073,OWNER-073,3099.67
REV-0074,074,OWNER-074,1625.27
REV-0075,075,OWNER-075,1126.51
REV-0076,076,OWNER-076,3749.79
REV-0077,077,OWNER-077,1281.6
REV-0078,078,OWNER-078,987.43
REV-0079,079,OWNER-079,1819.24
REV-0080,080,OWNER-080,1028.81
REV-0081,081,OWNER-081,919.15
REV-0082,082,OWNER-082,2678.03
REV-0083,083,OWNER-083,1070.59
REV-0084,084,OWNER-084,1258.75
REV-0085,085,OWNER-085,2384.18
REV-0086,086,OWNER-086,1284.0
REV-0087, 087,OWNER-087,1024.23
REV-0088,088,OWNER-088,1862.99
REV-0089,089,OWNER-089,2501.33
REV-0090,090,OWNER-090,2627.48
REV-0091,091,OWNER-091,877.75
REV-0092,092,OWNER-092,847.18
REV-0093,093,OWNER-093,941.88
REV-0094,094,OWNER-094,1488.88
REV-0095,095,OWNER-095,3744.79
REV-0096,096,OWNER-096,3059.7
REV-0097,097,OWNER-097,2270.28
REV-0098,098,OWNER-098,1385.31
REV-0099,099,OWNER-099,359.61
REV-0100, 100,OWNER-100,624.95
REV-0101,013,OWNER-013,2611.42
REV-0102,028,OWNER-028,2498.93
REV-0103,048,OWNER-048,721.15
REV-0104,030,OWNER-030,2293.66
